num_containers,cpu,arrival_rate,instant_tps,avg_cpu_util,prev_arrival_rate,response_time
3,47,24,21,0.7401418439716312,25,699.73
3,48,23,20,0.6997222222222222,24,707.05
2,46,22,14,0.658804347826087,23,1204.59
2,43,22,15,0.7966279069767442,22,1232.66
1,48,22,9,0.7404166666666666,22,2415.55
1,44,23,9,0.806590909090909,22,2552.75
3,43,23,21,0.7853488372093023,23,656.33
3,46,24,20,0.647463768115942,23,757.35
2,40,24,15,0.8435,24,1281.2
2,44,26,15,0.7796590909090909,24,1434.52
3,42,27,19,0.8035714285714285,26,979.76
2,40,30,14,0.860625,27,1672.03
2,47,29,16,0.7697872340425531,30,1623.89
2,40,26,15,0.8685,29,1425.18
1,48,23,9,0.7366666666666667,26,2538.45
3,49,19,17,0.581156462585034,23,553.24
2,44,17,15,0.7951136363636363,19,705.15
3,44,14,14,0.5093939393939394,17,227.64
1,43,7,7,0.6369767441860466,14,211.56
1,48,5,5,0.42291666666666666,7,180.68
3,44,4,4,0.15060606060606058,5,148.08
1,47,3,3,0.266595744680851,4,126.62
2,41,4,4,0.22670731707317074,3,135.83
2,41,3,3,0.15378048780487807,4,134.39
2,45,3,3,0.1567777777777778,3,133.75
2,42,2,2,0.12416666666666668,3,132.93
1,46,2,2,0.17978260869565219,2,124.41
2,49,3,3,0.14112244897959184,2,132.32
3,41,4,4,0.16414634146341467,3,149.26
3,45,6,6,0.20925925925925928,4,170.68
3,49,10,10,0.3203401360544217,6,197.23
3,40,14,14,0.5676666666666667,10,257.84
2,41,18,14,0.7817073170731709,14,914.17
2,49,21,15,0.6998979591836734,18,1163.59
2,42,22,14,0.7936904761904762,21,1202.31
3,46,24,18,0.6561594202898551,22,829.81
3,42,25,22,0.8428571428571429,24,763.72
1,40,27,9,0.89025,25,2967.81
2,41,27,14,0.8239024390243903,27,1530.42
1,43,27,9,0.8262790697674419,27,2954.19
3,46,26,18,0.6534782608695652,27,917.23
1,43,27,9,0.8067441860465117,26,2960.7
2,43,27,14,0.7288372093023255,27,1526.16
3,41,27,18,0.7420325203252034,27,951.94
